Timestamp,Asset_ID,Total_kWh,Outdoor_Temp,Is_Business_Hour,Region
2024-11-01 00:00:00,NZ-HQ-AKL-01,5.7789,17.44,False,NZ
2024-11-01 00:15:00,NZ-HQ-AKL-01,5.1405,17.65,False,NZ
2024-11-01 00:30:00,NZ-HQ-AKL-01,7.0107,19.41,False,NZ
2024-11-01 00:45:00,NZ-HQ-AKL-01,4.846,18.36,False,NZ
2024-11-01 01:00:00,NZ-HQ-AKL-01,8.7221,20.82,False,NZ
2024-11-01 01:15:00,NZ-HQ-AKL-01,8.5008,20.39,False,NZ
2024-11-01 01:30:00,NZ-HQ-AKL-01,7.578,20.06,False,NZ
2024-11-01 01:45:00,NZ-HQ-AKL-01,6.0666,18.99,False,NZ
2024-11-01 02:00:00,NZ-HQ-AKL-01,5.6215,18.36,False,NZ
2024-11-01 02:15:00,NZ-HQ-AKL-01,8.6327,20.79,False,NZ
2024-11-01 02:30:00,NZ-HQ-AKL-01,5.8585,17.76,False,NZ
2024-11-01 02:45:00,NZ-HQ-AKL-01,7.2197,19.52,False,NZ
2024-11-01 03:00:00,NZ-HQ-AKL-01,9.6409,21.56,False,NZ
2024-11-01 03:15:00,NZ-HQ-AKL-01,12.5004,24.15,False,NZ
2024-11-01 03:30:00,NZ-HQ-AKL-01,10.1146,22.29,False,NZ
2024-11-01 03:45:00,NZ-HQ-AKL-01,8.369,21.22,False,NZ
2024-11-01 04:00:00,NZ-HQ-AKL-01,9.4304,21.42,False,NZ
2024-11-01 04:15:00,NZ-HQ-AKL-01,7.6993,20.45,False,NZ
2024-11-01 04:30:00,NZ-HQ-AKL-01,8.2027,20.59,False,NZ
2024-11-01 04:45:00,NZ-HQ-AKL-01,9.4611,21.15,False,NZ
2024-11-01 05:00:00,NZ-HQ-AKL-01,7.76,21.1,False,NZ
2024-11-01 05:15:00,NZ-HQ-AKL-01,10.5984,22.43,False,NZ
2024-11-01 05:30:00,NZ-HQ-AKL-01,8.3955,21.32,False,NZ
2024-11-01 05:45:00,NZ-HQ-AKL-01,14.4593,25.48,False,NZ
2024-11-01 06:00:00,NZ-HQ-AKL-01,9.9372,22.68,False,NZ
2024-11-01 06:15:00,NZ-HQ-AKL-01,9.9232,21.84,False,NZ
2024-11-01 06:30:00,NZ-HQ-AKL-01,10.5313,22.29,False,NZ
2024-11-01 06:45:00,NZ-HQ-AKL-01,8.0476,20.1,False,NZ
2024-11-01 07:00:00,NZ-HQ-AKL-01,7.9299,20.73,False,NZ
2024-11-01 07:15:00,NZ-HQ-AKL-01,11.7933,23.62,False,NZ
2024-11-01 07:30:00,NZ-HQ-AKL-01,11.1542,23.16,False,NZ
2024-11-01 07:45:00,NZ-HQ-AKL-01,9.8195,22.63,False,NZ
2024-11-01 08:00:00,NZ-HQ-AKL-01,23.4654,24.86,True,NZ
2024-11-01 08:15:00,NZ-HQ-AKL-01,18.0398,20.64,True,NZ
2024-11-01 08:30:00,NZ-HQ-AKL-01,19.2213,21.03,True,NZ
2024-11-01 08:45:00,NZ-HQ-AKL-01,19.8881,22.72,True,NZ
2024-11-01 09:00:00,NZ-HQ-AKL-01,21.0677,23.44,True,NZ
2024-11-01 09:15:00,NZ-HQ-AKL-01,18.5156,21.04,True,NZ
2024-11-01 09:30:00,NZ-HQ-AKL-01,16.906,19.64,True,NZ
2024-11-01 09:45:00,NZ-HQ-AKL-01,17.4698,20.01,True,NZ
2024-11-01 10:00:00,NZ-HQ-AKL-01,18.2646,20.82,True,NZ
2024-11-01 10:15:00,NZ-HQ-AKL-01,17.0692,19.22,True,NZ
2024-11-01 10:30:00,NZ-HQ-AKL-01,15.3872,19.09,True,NZ
2024-11-01 10:45:00,NZ-HQ-AKL-01,21.535,22.8,True,NZ
2024-11-01 11:00:00,NZ-HQ-AKL-01,18.9541,20.93,True,NZ
2024-11-01 11:15:00,NZ-HQ-AKL-01,14.639,17.54,True,NZ
2024-11-01 11:30:00,NZ-HQ-AKL-01,19.0004,21.61,True,NZ
2024-11-01 11:45:00,NZ-HQ-AKL-01,15.9327,19.12,True,NZ
2024-11-01 12:00:00,NZ-HQ-AKL-01,14.5137,18.52,True,NZ
2024-11-01 12:15:00,NZ-HQ-AKL-01,16.6899,19.66,True,NZ
