timestamp,asset_id,indoor_co2_ppm,indoor_temp_c,total_power_kw,hvac_power_kw,lighting_power_kw,it_load_power_kw,emissions_co2_kg,audit_trait,crypto_signature
2025-11-01 00:00:00,Asset_01_NZ_Boundary,419,21.19,38.15,5.0,1.5,31.65,3.624,L2_HIGH_IT_LOAD,sig_9db86bba
2025-11-01 00:00:00,Asset_02_NZ_Boundary,439,21.3,18.31,5.0,1.5,11.81,1.739,L0_CLEAN_COMPLIANT,sig_83ba4ec9
2025-11-01 00:00:00,Asset_03_NZ_Boundary,418,21.35,18.98,5.0,1.5,12.48,1.803,L0_CLEAN_COMPLIANT,sig_971e3f45
2025-11-01 00:00:00,Asset_04_NZ_Boundary,449,21.94,18.53,5.0,1.5,12.03,1.76,L0_CLEAN_COMPLIANT,sig_67b6e99b
2025-11-01 00:00:00,Asset_05_NZ_Boundary,400,21.92,18.11,5.0,1.5,11.61,1.72,L0_CLEAN_COMPLIANT,sig_9fc39302
2025-11-01 00:00:00,Asset_06_NZ_Boundary,445,21.96,18.14,5.0,1.5,11.64,1.723,L0_CLEAN_COMPLIANT,sig_86ce00e7
2025-11-01 00:00:00,Asset_07_NZ_Boundary,402,21.14,18.9,5.0,1.5,12.4,1.795,L0_CLEAN_COMPLIANT,sig_d7279c8
2025-11-01 00:00:00,Asset_08_NZ_Boundary,450,21.82,18.21,5.0,1.5,11.71,1.73,L0_CLEAN_COMPLIANT,sig_8a5c560f
2025-11-01 00:00:00,Asset_09_NZ_Boundary,437,21.41,18.55,5.0,1.5,12.05,1.762,L0_CLEAN_COMPLIANT,sig_4b695902
2025-11-01 00:00:00,Asset_10_NZ_Boundary,403,21.2,18.87,5.0,1.5,12.37,1.793,L0_CLEAN_COMPLIANT,sig_f40baa81
2025-11-01 00:15:00,Asset_01_NZ_Boundary,418,21.59,38.57,5.0,1.5,32.07,3.664,L2_HIGH_IT_LOAD,sig_127f17a3
2025-11-01 00:15:00,Asset_02_NZ_Boundary,431,21.38,18.1,5.0,1.5,11.6,1.72,L0_CLEAN_COMPLIANT,sig_73cf7e12
2025-11-01 00:15:00,Asset_03_NZ_Boundary,435,21.09,18.01,5.0,1.5,11.51,1.711,L0_CLEAN_COMPLIANT,sig_da0eb524
2025-11-01 00:15:00,Asset_04_NZ_Boundary,404,21.83,18.34,5.0,1.5,11.84,1.742,L0_CLEAN_COMPLIANT,sig_439a3f27
2025-11-01 00:15:00,Asset_05_NZ_Boundary,437,21.92,18.17,5.0,1.5,11.67,1.726,L0_CLEAN_COMPLIANT,sig_ddd9a483
2025-11-01 00:15:00,Asset_06_NZ_Boundary,448,21.07,18.76,5.0,1.5,12.26,1.782,L0_CLEAN_COMPLIANT,sig_5d159c8b
2025-11-01 00:15:00,Asset_07_NZ_Boundary,421,21.26,18.83,5.0,1.5,12.33,1.789,L0_CLEAN_COMPLIANT,sig_4e53748c
2025-11-01 00:15:00,Asset_08_NZ_Boundary,409,21.11,18.44,5.0,1.5,11.94,1.752,L0_CLEAN_COMPLIANT,sig_23db1f48
2025-11-01 00:15:00,Asset_09_NZ_Boundary,445,21.14,18.9,5.0,1.5,12.4,1.795,L0_CLEAN_COMPLIANT,sig_f1fcebfe
2025-11-01 00:15:00,Asset_10_NZ_Boundary,430,21.14,18.32,5.0,1.5,11.82,1.74,L0_CLEAN_COMPLIANT,sig_fd7589c5
2025-11-01 00:30:00,Asset_01_NZ_Boundary,422,21.87,38.64,5.0,1.5,32.14,3.671,L2_HIGH_IT_LOAD,sig_fe8f9a20
2025-11-01 00:30:00,Asset_02_NZ_Boundary,446,21.36,18.2,5.0,1.5,11.7,1.729,L0_CLEAN_COMPLIANT,sig_1404033f
2025-11-01 00:30:00,Asset_03_NZ_Boundary,425,21.0,18.55,5.0,1.5,12.05,1.762,L0_CLEAN_COMPLIANT,sig_58b8b0a
2025-11-01 00:30:00,Asset_04_NZ_Boundary,433,21.38,18.04,5.0,1.5,11.54,1.714,L0_CLEAN_COMPLIANT,sig_fca6cfc9
2025-11-01 00:30:00,Asset_05_NZ_Boundary,401,21.98,18.54,5.0,1.5,12.04,1.761,L0_CLEAN_COMPLIANT,sig_bd0af7a8
2025-11-01 00:30:00,Asset_06_NZ_Boundary,403,21.12,18.95,5.0,1.5,12.45,1.8,L0_CLEAN_COMPLIANT,sig_7893c50a
2025-11-01 00:30:00,Asset_07_NZ_Boundary,432,21.96,18.15,5.0,1.5,11.65,1.724,L0_CLEAN_COMPLIANT,sig_a054d294
2025-11-01 00:30:00,Asset_08_NZ_Boundary,437,21.16,18.41,5.0,1.5,11.91,1.749,L0_CLEAN_COMPLIANT,sig_1147ccec
2025-11-01 00:30:00,Asset_09_NZ_Boundary,409,21.66,18.55,5.0,1.5,12.05,1.762,L0_CLEAN_COMPLIANT,sig_7d94342e
2025-11-01 00:30:00,Asset_10_NZ_Boundary,424,21.55,18.84,5.0,1.5,12.34,1.79,L0_CLEAN_COMPLIANT,sig_6df12d97
2025-11-01 00:45:00,Asset_01_NZ_Boundary,414,21.47,38.37,5.0,1.5,31.87,3.645,L2_HIGH_IT_LOAD,sig_4c31b2d0
2025-11-01 00:45:00,Asset_02_NZ_Boundary,419,21.42,18.01,5.0,1.5,11.51,1.711,L0_CLEAN_COMPLIANT,sig_8ea29552
2025-11-01 00:45:00,Asset_03_NZ_Boundary,446,21.5,18.28,5.0,1.5,11.78,1.737,L0_CLEAN_COMPLIANT,sig_6943826f
2025-11-01 00:45:00,Asset_04_NZ_Boundary,407,21.11,18.74,5.0,1.5,12.24,1.78,L0_CLEAN_COMPLIANT,sig_42d96d6b
2025-11-01 00:45:00,Asset_05_NZ_Boundary,402,21.16,18.37,5.0,1.5,11.87,1.745,L0_CLEAN_COMPLIANT,sig_27aef93e
2025-11-01 00:45:00,Asset_06_NZ_Boundary,449,21.36,18.37,5.0,1.5,11.87,1.745,L0_CLEAN_COMPLIANT,sig_dc084332
2025-11-01 00:45:00,Asset_07_NZ_Boundary,434,21.03,18.68,5.0,1.5,12.18,1.775,L0_CLEAN_COMPLIANT,sig_a16929eb
2025-11-01 00:45:00,Asset_08_NZ_Boundary,405,21.19,18.14,5.0,1.5,11.64,1.723,L0_CLEAN_COMPLIANT,sig_4830123c
2025-11-01 00:45:00,Asset_09_NZ_Boundary,443,21.54,18.19,5.0,1.5,11.69,1.728,L0_CLEAN_COMPLIANT,sig_a4313ec2
2025-11-01 00:45:00,Asset_10_NZ_Boundary,446,21.54,18.33,5.0,1.5,11.83,1.741,L0_CLEAN_COMPLIANT,sig_60097a2c
2025-11-01 01:00:00,Asset_01_NZ_Boundary,418,21.82,38.78,5.0,1.5,32.28,3.684,L2_HIGH_IT_LOAD,sig_66b87da
2025-11-01 01:00:00,Asset_02_NZ_Boundary,432,21.12,18.12,5.0,1.5,11.62,1.721,L0_CLEAN_COMPLIANT,sig_36cd86b3
2025-11-01 01:00:00,Asset_03_NZ_Boundary,412,21.2,18.76,5.0,1.5,12.26,1.782,L0_CLEAN_COMPLIANT,sig_ddc8b9c1
2025-11-01 01:00:00,Asset_04_NZ_Boundary,402,21.02,18.0,5.0,1.5,11.5,1.71,L0_CLEAN_COMPLIANT,sig_1b58b4ae
